Vdark	Idark	Vphoto	Iphoto	R	Vphoto
7.5	0.10993	7.5	1.252823681	1.14	7.5
7.6	0.113219	7.6	1.257481617	1.14	7.6
7.7	0.116558	7.7	1.262147345	1.15	7.7
7.8	0.119946	7.8	1.266790864	1.15	7.8
7.9	0.123382	7.9	1.27143236	1.15	7.9
8	0.126867	8	1.276071832	1.15	8
8.1	0.130402	8.1	1.28071928	1.15	8.1
8.2	0.133984	8.2	1.285374704	1.15	8.2
8.3	0.137616	8.3	1.290058472	1.15	8.3
8.4	0.141296	8.4	1.294750215	1.15	8.4
8.5	0.145024	8.5	1.299460303	1.15	8.5
8.6	0.148801	8.6	1.304168551	1.16	8.6
8.7	0.152626	8.7	1.308865143	1.16	8.7
8.8	0.156499	8.8	1.313540079	1.16	8.8
8.9	0.160421	8.9	1.318203358	1.16	8.9
9	0.164391	9	1.322845166	1.16	9
9.1	0.168409	9.1	1.327495318	1.16	9.1
9.2	0.172474	9.2	1.332143998	1.16	9.2
9.3	0.176588	9.3	1.336811206	1.16	9.3
9.4	0.18075	9.4	1.341507126	1.16	9.4
9.5	0.184959	9.5	1.346241574	1.16	9.5
9.6	0.189216	9.6	1.350984549	1.16	9.6
9.7	0.19352	9.7	1.355756237	1.16	9.7
9.8	0.197872	9.8	1.360546637	1.16	9.8
9.9	0.202272	9.9	1.365355749	1.16	9.9
10	0.206719	10	1.370183573	1.16	10
10.1	0.211213	10.1	1.375030109	1.16	10.1
10.2	0.215754	10.2	1.379905541	1.16	10.2
10.3	0.220343	10.3	1.384809684	1.16	10.3
10.4	0.224978	10.4	1.389732724	1.16	10.4
10.5	0.22966	10.5	1.39467466	1.17	10.5
10.6	0.23439	10.6	1.399615492	1.17	10.6
10.7	0.239166	10.7	1.404555404	1.17	10.7
10.8	0.243988	10.8	1.409464028	1.17	10.8
10.9	0.248858	10.9	1.414341732	1.17	10.9
11	0.253774	11	1.419208331	1.17	11
11.1	0.258736	11.1	1.424053827	1.17	11.1
11.2	0.263744	11.2	1.428888587	1.17	11.2
11.3	0.268799	11.3	1.433722243	1.16	11.3
11.4	0.2739	11.4	1.438564979	1.16	11.4
11.5	0.279047	11.5	1.443416795	1.16	11.5
11.6	0.28424	11.6	1.448267691	1.16	11.6
11.7	0.289478	11.7	1.453127667	1.16	11.7
11.8	0.294763	11.8	1.458006722	1.16	11.8
11.9	0.300093	11.9	1.462885042	1.16	11.9
12	0.305468	12	1.467782442	1.16	12
12.1	0.310889	12.1	1.472688922	1.16	12.1
12.2	0.316356	12.2	1.477594666	1.16	12.2
12.3	0.321867	12.3	1.482519674	1.16	12.3
12.4	0.327424	12.4	1.487453762	1.16	12.4
12.5	0.333026	12.5	1.492377114	1.16	12.5
12.6	0.338672	12.6	1.497319914	1.16	12.6
12.7	0.344364	12.7	1.502251793	1.16	12.7
12.8	0.3501	12.8	1.507192937	1.16	12.8
12.9	0.355881	12.9	1.512143345	1.16	12.9
13	0.361706	13	1.517113017	1.16	13
13.1	0.367575	13.1	1.522081953	1.15	13.1
13.2	0.373489	13.2	1.527080337	1.15	13.2
13.3	0.379447	13.3	1.532097985	1.15	13.3
13.4	0.385449	13.4	1.537134897	1.15	13.4
13.5	0.391495	13.5	1.542191257	1.15	13.5
13.6	0.397585	13.6	1.54726688	1.15	13.6
13.7	0.403718	13.7	1.552361952	1.15	13.7
13.8	0.409895	13.8	1.557486288	1.15	13.8
13.9	0.416116	13.9	1.562620072	1.15	13.9
14	0.422379	14	1.567783304	1.15	14
14.1	0.428686	14.1	1.572955984	1.14	14.1
14.2	0.435037	14.2	1.578157928	1.14	14.2
14.3	0.44143	14.3	1.58336932	1.14	14.3
14.4	0.447866	14.4	1.58860016	1.14	14.4
14.5	0.454345	14.5	1.593830448	1.14	14.5
14.6	0.460866	14.6	1.599070183	1.14	14.6
14.7	0.46743	14.7	1.604309367	1.14	14.7
14.8	0.474037	14.8	1.609547999	1.14	14.8
14.9	0.480686	14.9	1.614786079	1.13	14.9
15	0.487377	15	1.620023791	1.13	15
15.1	0.49411	15.1	1.625260767	1.13	15.1
15.2	0.500885	15.2	1.630507375	1.13	15.2
15.3	0.507702	15.3	1.635743431	1.13	15.3
15.4	0.514561	15.4	1.640998935	1.13	15.4
15.5	0.521462	15.5	1.646254071	1.12	15.5
15.6	0.528404	15.6	1.651508655	1.12	15.6
15.7	0.535388	15.7	1.656772871	1.12	15.7
15.8	0.542413	15.8	1.662036534	1.12	15.8
15.9	0.54948	15.9	1.667299646	1.12	15.9
16	0.556587	16	1.672572574	1.12	16
16.1	0.563736	16.1	1.677844766	1.11	16.1
16.2	0.570926	16.2	1.68311659	1.11	16.2
16.3	0.578156	16.3	1.688398046	1.11	16.3
16.4	0.585428	16.4	1.693689134	1.11	16.4
16.5	0.59274	16.5	1.69897967	1.11	16.5
16.6	0.600093	16.6	1.704289838	1.10	16.6
16.7	0.607486	16.7	1.709599454	1.10	16.7
16.8	0.61492	16.8	1.714928886	1.10	16.8
16.9	0.622394	16.9	1.720267766	1.10	16.9
17	0.629909	17	1.725616277	1.10	17
17.1	0.637464	17.1	1.730974421	1.09	17.1
17.2	0.645059	17.2	1.736342197	1.09	17.2
17.3	0.652694	17.3	1.741729421	1.09	17.3
17.4	0.660369	17.4	1.747136461	1.09	17.4
17.5	0.668084	17.5	1.752553133	1.08	17.5
17.6	0.675839	17.6	1.757989253	1.08	17.6
17.7	0.683634	17.7	1.763455189	1.08	17.7
17.8	0.691468	17.8	1.768940757	1.08	17.8
17.9	0.699342	17.9	1.774455773	1.08	17.9
