lambda	100 nm	150 nm	200 nm	250 nm	300 nm	350 nm	400 nm	425 nm
1210	0.285372	0.324561	0.298325	0.225355	0.179633	0.142581	0.127181	0.13602
1215	0.283001	0.321269	0.296644	0.225485	0.184764	0.146196	0.129176	0.138523
1220	0.28127	0.318884	0.294748	0.224946	0.189452	0.150309	0.131372	0.141162
1225	0.279665	0.316913	0.292693	0.22386	0.193564	0.155004	0.133838	0.14398
1230	0.277904	0.31497	0.290527	0.222336	0.19692	0.160316	0.136608	0.147009
1235	0.27591	0.312858	0.288278	0.220468	0.199338	0.166264	0.139701	0.150272
1240	0.273687	0.310481	0.285966	0.218329	0.200687	0.172855	0.143135	0.15378
1245	0.271283	0.307791	0.2836	0.215981	0.200917	0.180032	0.146925	0.157543
1250	0.268841	0.304852	0.281179	0.213482	0.200058	0.187633	0.151081	0.161564
1255	0.266637	0.301956	0.278689	0.210883	0.198226	0.19536	0.155612	0.165851
1260	0.264892	0.299481	0.276123	0.208246	0.195647	0.202811	0.160555	0.170441
1265	0.263476	0.297511	0.273488	0.205644	0.192607	0.209556	0.165993	0.175429
1270	0.26203	0.29579	0.270811	0.203158	0.189371	0.21505	0.172013	0.180933
1275	0.260317	0.294048	0.268169	0.200863	0.186126	0.218567	0.178655	0.187073
1280	0.258347	0.292175	0.265673	0.198801	0.183003	0.219461	0.185913	0.193958
1285	0.256327	0.290227	0.263446	0.196946	0.180077	0.217498	0.193689	0.201654
1290	0.254583	0.288384	0.261558	0.195189	0.177357	0.213033	0.201714	0.210109
1295	0.253427	0.286891	0.259966	0.193363	0.174791	0.206907	0.209448	0.219075
1300	0.252917	0.285875	0.258466	0.191317	0.172305	0.200042	0.216062	0.22811
1305	0.252679	0.285139	0.256751	0.189019	0.169864	0.192974	0.220498	0.23664
1310	0.25211	0.284262	0.254584	0.186634	0.167514	0.185777	0.221625	0.244048
1315	0.250814	0.282947	0.252005	0.184479	0.165393	0.178415	0.218681	0.24974
1320	0.248946	0.28129	0.249425	0.182806	0.16365	0.171153	0.211783	0.253082
1325	0.24721	0.279779	0.247411	0.181571	0.162331	0.164666	0.201941	0.253185
1330	0.246367	0.278936	0.246217	0.180363	0.161284	0.159634	0.190491	0.24888
1335	0.246505	0.278804	0.245405	0.1787	0.160257	0.156161	0.178437	0.239346
1340	0.246782	0.278781	0.244067	0.176503	0.159104	0.153576	0.166454	0.225106
1345	0.246117	0.278125	0.241698	0.174296	0.157949	0.150984	0.155254	0.20831
1350	0.244372	0.276779	0.238916	0.172727	0.157087	0.14818	0.1457	0.191532
1355	0.242731	0.275587	0.237027	0.17178	0.156634	0.145911	0.138366	0.176204
1360	0.242466	0.275418	0.236475	0.170631	0.15635	0.144979	0.133065	0.162434
1365	0.243195	0.275975	0.235975	0.168603	0.155878	0.145102	0.128994	0.150125
1370	0.243078	0.275927	0.233924	0.166176	0.155223	0.145064	0.125529	0.139755
1375	0.241308	0.274697	0.230799	0.164496	0.154772	0.144299	0.122818	0.131909
1380	0.239596	0.273534	0.228902	0.16364	0.154736	0.143769	0.121411	0.12642
1385	0.239821	0.273834	0.228919	0.16227	0.15478	0.144581	0.121235	0.122376
1390	0.240836	0.274786	0.228302	0.159689	0.15454	0.146123	0.121408	0.119026
1395	0.240021	0.274394	0.225164	0.157227	0.15424	0.146881	0.121354	0.116455
1400	0.237903	0.27296	0.222012	0.156068	0.154321	0.14701	0.121691	0.115187
1405	0.237633	0.272925	0.221771	0.154859	0.154628	0.148221	0.123202	0.115109
1410	0.239117	0.274417	0.221854	0.151984	0.154695	0.150674	0.125305	0.115283
1415	0.238763	0.274573	0.21837	0.148937	0.154697	0.15249	0.12685	0.115243
1420	0.23663	0.273129	0.21432	0.147566	0.155082	0.153392	0.128311	0.115874
1425	0.236763	0.273452	0.214328	0.145864	0.155616	0.155471	0.131119	0.117814
1430	0.238639	0.275577	0.214097	0.141899	0.155957	0.158986	0.134709	0.119833
1435	0.237844	0.275602	0.208591	0.138471	0.15653	0.161652	0.137406	0.121026
1440	0.236108	0.274371	0.204306	0.136956	0.157451	0.163647	0.140164	0.123108
1445	0.237805	0.276301	0.205369	0.133257	0.158263	0.167628	0.145072	0.127
1450	0.239432	0.279023	0.201758	0.127421	0.159387	0.172893	0.150554	0.130166
1455	0.237751	0.278306	0.19232	0.124358	0.161206	0.176875	0.154625	0.132315
1460	0.238319	0.279139	0.190345	0.120765	0.162845	0.18169	0.160606	0.137365
