100 nm


lambda, Y
1250, 0.281179
1255, 0.278689
1260, 0.276123
1265, 0.273488
1270, 0.270811
1275, 0.268169
1280, 0.265673
1285, 0.263446
1290, 0.261558
1295, 0.259966
1300, 0.258466
1305, 0.256751
1310, 0.254584
1315, 0.252005
1320, 0.249425
1325, 0.247411
1330, 0.246217
1335, 0.245405
1340, 0.244067
1345, 0.241698
1350, 0.238916
1355, 0.237027
1360, 0.236475
1365, 0.235975
1370, 0.233924
1375, 0.230799
1380, 0.228902
1385, 0.228919
1390, 0.228302
1395, 0.225164
1400, 0.222012
1405, 0.221771
1410, 0.221854
1415, 0.21837
1420, 0.21432
1425, 0.214328
1430, 0.214097
1435, 0.208591
1440, 0.204306
1445, 0.205369
1450, 0.201758
1455, 0.19232
1460, 0.190345
1465, 0.189285
1470, 0.173449
1475, 0.159832
1480, 0.156632
1485, 0.189597
1490, 0.452758
1495, 0.397314
1500, 0.720999
1505, 0.709039
1510, 0.598813
1515, 0.559276
1520, 0.527829
1525, 0.508836
1530, 0.507189
1535, 0.494054
1540, 0.488485
1545, 0.484381
1550, 0.47248
1555, 0.469167
1560, 0.460036
1565, 0.452023
1570, 0.447511
1575, 0.437696
1580, 0.433811
1585, 0.426379
1590, 0.420632
1595, 0.416373
1600, 0.409472

250nm


lambda, Y
300, 0.177958
305, 0.172265
310, 0.16751
315, 0.163427
320, 0.160606
325, 0.158024
330, 0.156316
335, 0.155212
340, 0.154433
345, 0.15391
350, 0.154331
355, 0.154842
360, 0.155077
365, 0.154393
370, 0.15269
375, 0.151025
380, 0.150308
385, 0.150812
390, 0.152243
395, 0.152403
400, 0.153894
405, 0.158821
410, 0.164582
415, 0.16845
420, 0.17059
425, 0.179855
430, 0.186229
435, 0.192405
440, 0.199556
445, 0.205361
450, 0.207985
455, 0.207476
460, 0.203572
465, 0.196731
470, 0.188058
475, 0.179708
480, 0.173975
485, 0.171194
490, 0.172293
495, 0.176202
500, 0.181233
505, 0.185366
510, 0.185364
515, 0.183626
520, 0.190321
525, 0.198826
530, 0.204302
535, 0.206102
540, 0.203178
545, 0.195688
550, 0.185453
555, 0.174812
560, 0.165462
565, 0.158293
570, 0.152601
575, 0.147278
580, 0.142663
585, 0.13838
590, 0.134472
595, 0.131478
600, 0.129109
605, 0.127266
610, 0.125898
615, 0.124884
620, 0.124117
625, 0.123545
630, 0.123202
635, 0.123257
640, 0.123449
645, 0.123733
650, 0.125028
655, 0.126527
660, 0.129768
665, 0.134476
670, 0.142308
675, 0.153425
680, 0.164071
685, 0.165266
690, 0.15319
695, 0.135575
700, 0.120515
705, 0.11222
710, 0.109539
715, 0.109391
720, 0.110163
725, 0.111496
730, 0.112959
735, 0.112434
740, 0.110464
745, 0.109597
750, 0.11003
755, 0.110356
760, 0.111079
765, 0.112505
770, 0.113693
775, 0.116157
780, 0.118685
785, 0.122817
790, 0.119774
795, 0.113325
800, 0.107784
805, 0.104612
810, 0.103909
815, 0.102925
820, 0.100995
825, 0.0984462
830, 0.0957904
835, 0.0934089
840, 0.0913906
845, 0.0896644
850, 0.088147
855, 0.0867909
860, 0.0855761
865, 0.0844895
870, 0.0835165
875, 0.08264
880, 0.081849
885, 0.0811512
890, 0.0805785
895, 0.0801666
