100 nm


lambda, Y
875, 0.0189573
880, 0.0184582
885, 0.0180021
890, 0.0175713
895, 0.0171381
900, 0.0166829
905, 0.0162253
910, 0.0158251
915, 0.0155112
920, 0.0152075
925, 0.0148234
930, 0.0144389
935, 0.0141839
940, 0.0139231
945, 0.013547
950, 0.0133038
955, 0.0130995
960, 0.0127429
965, 0.0125955
970, 0.0123399
975, 0.0120971
980, 0.0119892
985, 0.0116886
990, 0.0116702
995, 0.0113723
1000, 0.0114143
1005, 0.0111505
1010, 0.0112423
1015, 0.011069
1020, 0.0111571
1025, 0.0112094
1030, 0.0112153
1035, 0.0115975
1040, 0.0116835
1045, 0.0121979
1050, 0.0128897
1055, 0.0135151
1060, 0.0148516
1065, 0.0166469
1070, 0.0188675
1075, 0.0224992
1080, 0.0280569
1085, 0.0360337
1090, 0.0481365
1095, 0.0664735
1100, 0.0913645
1105, 0.11821
1110, 0.136335
1115, 0.137946
1120, 0.126969
1125, 0.111937
1130, 0.0979198
1135, 0.0864554
1140, 0.0775501
1145, 0.0707578
1150, 0.0655516
1155, 0.0614504
1160, 0.0580752
1165, 0.0551579
1170, 0.0525295
1175, 0.0500881
1180, 0.0477758
1185, 0.0455604
1190, 0.0434232
1195, 0.0413558
1200, 0.0393554
1205, 0.0374236
1210, 0.0355651
1215, 0.0337846
1220, 0.0320874
1225, 0.0304785
1230, 0.0289614
1235, 0.0275391
1240, 0.0262133
1245, 0.0249838
1250, 0.0238488
1255, 0.0228023
1260, 0.0218341
1265, 0.0209282
1270, 0.0200656
1275, 0.0192276
1280, 0.0184041
1285, 0.0176008
1290, 0.0168425
1295, 0.0161656
1300, 0.0155982
1305, 0.0151356
1310, 0.0147284
1315, 0.0143023
1320, 0.0138078
1325, 0.0132696
1330, 0.0127813
1335, 0.012429
1340, 0.0121972
1345, 0.0119625
1350, 0.0116151
1355, 0.0111953
1360, 0.0108653
1365, 0.0107052
1370, 0.010586
1375, 0.0103344
1380, 0.00999618
1385, 0.0097843
1390, 0.00973659
1395, 0.00963527
1400, 0.00938039
1405, 0.00918353
1410, 0.00917912
1415, 0.00915891
1420, 0.00898362
1425, 0.00887464
1430, 0.00895432
1435, 0.00899033
1440, 0.00891396
1445, 0.00897617
1450, 0.00920305
1455, 0.00936788
1460, 0.00952318
1465, 0.0099689
1470, 0.0107196
1475, 0.011492
1480, 0.0130355
1485, 0.0187632
1490, 0.013904
1495, 0.0176915
1500, 0.0228004
1505, 0.0208915
1510, 0.0144954
1515, 0.0118174
1520, 0.0105262
