lambda	100 nm	150 nm	200 nm	250 nm	300 nm	350 nm	400 nm	425 nm
1150	0.0706262	0.0776849	0.0773841	0.0722801	0.0292939	0.0241769	0.0200928	0.0187289
1155	0.0704331	0.0768223	0.0747999	0.071221	0.0297406	0.0240161	0.0196346	0.0182988
1160	0.068916	0.0744745	0.0725316	0.0703975	0.0302331	0.0239097	0.0192815	0.0179627
1165	0.066732	0.0715991	0.0704855	0.0696202	0.0306139	0.0237276	0.0189352	0.0176469
1170	0.0647157	0.0690942	0.0685878	0.06875	0.030999	0.0236007	0.0186548	0.0173999
1175	0.0631933	0.0672246	0.0667844	0.0676926	0.0315401	0.0236542	0.018507	0.0172683
1180	0.0621738	0.0659443	0.065044	0.0663974	0.0322758	0.0239172	0.0185009	0.0172523
1185	0.0616052	0.065168	0.0633528	0.0648528	0.0331781	0.024392	0.0186196	0.0173336
1190	0.0614589	0.0648448	0.0617075	0.0630765	0.0342026	0.0250645	0.0188468	0.0174939
1195	0.0617149	0.064923	0.0601117	0.0611074	0.0352991	0.0259278	0.0191741	0.0177219
1200	0.0622654	0.0652346	0.0585707	0.0589953	0.036396	0.0269934	0.0195982	0.0180111
1205	0.0627555	0.0653437	0.0570888	0.0567932	0.0373617	0.0282307	0.0201114	0.0183578
1210	0.0626136	0.0646793	0.0556699	0.0545523	0.0379821	0.0295373	0.0206882	0.0187575
1215	0.0615911	0.0631489	0.054317	0.0523165	0.0380698	0.0308116	0.0212948	0.0192026
1220	0.0601037	0.0612986	0.0530302	0.0501231	0.0376443	0.0320671	0.0219321	0.0196931
1225	0.0587104	0.0596734	0.0518095	0.0480003	0.0368545	0.0334217	0.0226401	0.0202377
1230	0.0576858	0.0584859	0.0506545	0.0459681	0.0357908	0.0349862	0.023462	0.0208496
1235	0.0570819	0.0577444	0.0495623	0.0440394	0.0344719	0.0367978	0.0244299	0.0215426
1240	0.0568678	0.0573881	0.0485299	0.0422208	0.0329054	0.0388413	0.0255708	0.02233
1245	0.0569579	0.0572998	0.0475523	0.0405137	0.0311137	0.0410685	0.0269089	0.023227
1250	0.0571539	0.0572466	0.046623	0.0389175	0.0291285	0.0433347	0.0284509	0.0242415
1255	0.0571153	0.0568894	0.0457341	0.0374299	0.0269857	0.0453564	0.0301586	0.0253654
1260	0.0565693	0.0560374	0.0448783	0.0360489	0.0247538	0.0468194	0.0319603	0.0265767
1265	0.0556118	0.0548774	0.04405	0.0347751	0.022553	0.0475687	0.0338435	0.0278783
1270	0.054584	0.0537523	0.0432488	0.0336113	0.020504	0.0476113	0.0359023	0.0293218
1275	0.0537394	0.0528641	0.0424829	0.0325608	0.018665	0.046944	0.0382532	0.0309758
1280	0.0531645	0.0522527	0.0417686	0.0316244	0.0170407	0.0455023	0.0409639	0.0328971
1285	0.0528404	0.0518645	0.0411273	0.0307938	0.015614	0.0432558	0.0440217	0.0351203
1290	0.0526619	0.051574	0.0405742	0.0300493	0.0143613	0.0402884	0.0472949	0.03764
1295	0.0524549	0.0512164	0.0401056	0.0293602	0.0132616	0.0367889	0.0504807	0.0403869
1300	0.0520868	0.0507092	0.0396874	0.0286953	0.012302	0.0330301	0.0531609	0.0432413
1305	0.0515824	0.0501198	0.0392624	0.0280376	0.0114783	0.0293174	0.0549755	0.0461076
1310	0.0510441	0.0495487	0.0387778	0.0273998	0.0107859	0.0258912	0.0556851	0.048924
1315	0.050526	0.0490245	0.0382268	0.0268211	0.0102146	0.022882	0.0551115	0.0515615
1320	0.0500295	0.0485257	0.0376728	0.0263406	0.00974732	0.0203251	0.0531608	0.0537298
1325	0.0495567	0.0480417	0.0372202	0.0259612	0.00936418	0.0181879	0.0499039	0.0549828
1330	0.0491391	0.0476066	0.0369307	0.0256305	0.00904735	0.0164097	0.045647	0.0548881
1335	0.048811	0.0472655	0.0367439	0.0252732	0.00878822	0.0149418	0.0408939	0.0532935
1340	0.0485276	0.0469853	0.0364979	0.0248593	0.00858717	0.0137572	0.0361942	0.0504233
1345	0.0481753	0.0466602	0.0360774	0.0244462	0.00844532	0.0128363	0.0319426	0.0467105
1350	0.0477134	0.0462477	0.0355649	0.0241286	0.0083536	0.0121405	0.0282873	0.0425635
1355	0.0472742	0.0458588	0.0351949	0.0239256	0.00829353	0.0116097	0.0251873	0.0382961
1360	0.0470355	0.0456551	0.0350837	0.0237369	0.00825485	0.0111949	0.0225738	0.0342077
1365	0.0469819	0.0456338	0.0350327	0.023453	0.00824617	0.0108893	0.0204496	0.0305943
1370	0.0468848	0.0455879	0.0347327	0.0231091	0.00827982	0.0107064	0.0188216	0.027598
1375	0.0466027	0.0453696	0.0342125	0.0228568	0.00834729	0.0106289	0.017587	0.0251209
1380	0.046318	0.0451343	0.0338745	0.0227401	0.00842531	0.0106057	0.016584	0.0230056
1385	0.0462897	0.0451422	0.033909	0.0226018	0.00851316	0.010617	0.0157625	0.0212596
