100 nm


lambda, Y
410, 0.233405
415, 0.240521
420, 0.243577
425, 0.251079
430, 0.241463
435, 0.231996
440, 0.227666
445, 0.230644
450, 0.233416
455, 0.233532
460, 0.231548
465, 0.228259
470, 0.22322
475, 0.21444
480, 0.198662
485, 0.173779
490, 0.145671
495, 0.12607
500, 0.118465
505, 0.117927
510, 0.11726
515, 0.106922
520, 0.0932869
525, 0.0920495
530, 0.0932482
535, 0.0932122
540, 0.0921172
545, 0.0904836
550, 0.0886942
555, 0.0868913
560, 0.0849053
565, 0.0821856
570, 0.0778039
575, 0.0716875
580, 0.0649454
585, 0.0582993
590, 0.0522595
595, 0.0469973
600, 0.0423196
605, 0.0377964
610, 0.0331155
615, 0.0285994
620, 0.0248535
625, 0.0220377
630, 0.020023
635, 0.0186559
640, 0.0178675
645, 0.0176116
650, 0.0179451
655, 0.0190898
660, 0.0214271
665, 0.0253342
670, 0.0306559
675, 0.0358886
680, 0.0386447
685, 0.0379995
690, 0.035031
695, 0.0309586
700, 0.0260572
705, 0.0201241
710, 0.0143479
715, 0.0111419
720, 0.0103713
725, 0.0105164
730, 0.0108132
735, 0.0110799
740, 0.0113184
745, 0.0115636
750, 0.0118536
755, 0.0122451
760, 0.0127951
765, 0.0135973
770, 0.014817
775, 0.0167486
780, 0.020003
785, 0.0255456
790, 0.031424
795, 0.0384436
800, 0.0422538
805, 0.0366805
810, 0.0280527
815, 0.0222337
820, 0.0190302
825, 0.0173876
830, 0.0167229
835, 0.0168476
840, 0.0178162
845, 0.0194169
850, 0.0197735
855, 0.0183286
860, 0.017777
865, 0.0188794
870, 0.0212097
875, 0.022656
880, 0.0204563
885, 0.0167407
890, 0.0140858
895, 0.0125775
900, 0.0117762
905, 0.0113832
910, 0.0111584
915, 0.0108844
920, 0.0106253
925, 0.0104824
930, 0.0104382
935, 0.010459
940, 0.0105281
945, 0.0106483
950, 0.0108279
955, 0.0110874
960, 0.0114544
965, 0.0118346
970, 0.0119797
975, 0.01192
980, 0.0118775
985, 0.0119313
990, 0.0120597
995, 0.0122603
1000, 0.0125232
1005, 0.0128742
1010, 0.0133359
1015, 0.013976
1020, 0.0148365
1025, 0.0158344
1030, 0.0165
1035, 0.0165159
1040, 0.0163111
1045, 0.0162826
1050, 0.0165289
1055, 0.0170379
1060, 0.0178159
1065, 0.0189369
1070, 0.0205215
1075, 0.0227469
1080, 0.025754
1085, 0.0292063
1090, 0.0318948
1095, 0.0330864
1100, 0.0339036
1105, 0.0356033
1110, 0.0381357
1115, 0.0399834
1120, 0.0393194
1125, 0.0364682
1130, 0.0333246
1135, 0.0310157
1140, 0.0296979
1145, 0.029196
1150, 0.0292939
1155, 0.0297406
1160, 0.0302331
1165, 0.0306139
1170, 0.030999
1175, 0.0315401
1180, 0.0322758
1185, 0.0331781
1190, 0.0342026
1195, 0.0352991
1200, 0.036396
1205, 0.0373617
1210, 0.0379821
1215, 0.0380698
1220, 0.0376443
1225, 0.0368545
1230, 0.0357908
1235, 0.0344719
1240, 0.0329054
1245, 0.0311137
1250, 0.0291285
1255, 0.0269857
1260, 0.0247538
1265, 0.022553
1270, 0.020504
1275, 0.018665
1280, 0.0170407
1285, 0.015614
1290, 0.0143613
1295, 0.0132616
1300, 0.012302
1305, 0.0114783
1310, 0.0107859
1315, 0.0102146
1320, 0.00974732
1325, 0.00936418
1330, 0.00904735
1335, 0.00878822
1340, 0.00858717
1345, 0.00844532
1350, 0.0083536
1355, 0.00829353
1360, 0.00825485
1365, 0.00824617
1370, 0.00827982
1375, 0.00834729
1380, 0.00842531
1385, 0.00851316
1390, 0.00863837
1395, 0.00880685
1400, 0.00898352
1405, 0.00915919
1410, 0.00938225
1415, 0.00966671
1420, 0.0099509
1425, 0.0102374
1430, 0.0106228
1435, 0.0110894
1440, 0.011529
1445, 0.0120529
1450, 0.0128086
1455, 0.0136064
1460, 0.0144494
1465, 0.0158175
1470, 0.0176157
1475, 0.0196312
1480, 0.0237993
1485, 0.0356524
1490, 0.036326
1495, 0.0380153
1500, 0.0515164
1505, 0.0603195
1510, 0.059148
1515, 0.0579649
1520, 0.0581812
1525, 0.0596452
1530, 0.0626551
1535, 0.0649096
1540, 0.0665863
1545, 0.0674976
1550, 0.0671952
1555, 0.0668423
1560, 0.066189
1565, 0.0655835
1570, 0.0654128
1575, 0.0651738
1580, 0.06539
1585, 0.0656781
1590, 0.066067
1595, 0.0667444
1600, 0.0672504

350 nm


lambda, Y
300, 0.274945
305, 0.276597
310, 0.276899
315, 0.276109
320, 0.274623
325, 0.272495
330, 0.269926
335, 0.266943
340, 0.263719
345, 0.260462
350, 0.25744
355, 0.2548
360, 0.252392
365, 0.249677
370, 0.246523
375, 0.243266
380, 0.240195
385, 0.237263
390, 0.233865
395, 0.231444
400, 0.229016
405, 0.224912
410, 0.221254
415, 0.221638
420, 0.227041
425, 0.24143
430, 0.242852
435, 0.231751
440, 0.22029
445, 0.211786
450, 0.212516
455, 0.216511
460, 0.219285
465, 0.219869
470, 0.218496
475, 0.215514
480, 0.210625
485, 0.202719
490, 0.189057
495, 0.165866
500, 0.137044
505, 0.120357
510, 0.119081
515, 0.118438
520, 0.104744
525, 0.0907658
530, 0.0871943
535, 0.086989
540, 0.0865403
545, 0.0853499
550, 0.0836508
555, 0.0817157
560, 0.0797573
565, 0.0779466
570, 0.0764105
